averageTestAccuracy,averageTestMSE,averageTimeTaken,batchSize,embeddingVectorLength,epochs,lstmLayerSize,maxSentenceLength,medianTestAccuracy,medianTestMSE,medianTimeTaken,testAccuracy,testMSE,timeTaken
0.6480338777979431,0.17852287804840636,84.22827466328938,128,30,2,50,200,0.6480338777979431,0.1783291640480856,81.28462100028992,[0.6480338777979431],"[0.17596847727732784, 0.1783291640480856, 0.18127099281980558]","[79.15104293823242, 92.24916005134583, 81.28462100028992]"
0.6378705384150031,0.17858668376873799,94.55087836583455,128,50,2,50,200,0.6378705384150031,0.17860506258691358,93.75445222854614,[0.6378705384150031],"[0.17852110046050962, 0.17860506258691358, 0.17863388825879073]","[90.58501195907593, 99.31317090988159, 93.75445222854614]"
0.6521476104053237,0.1788375051063791,135.054501692454,128,30,2,100,200,0.6521476104053237,0.17842369242645095,138.16733980178833,[0.6521476104053237],"[0.17800613398582632, 0.17842369242645095, 0.18008268890686005]","[138.16733980178833, 144.91369700431824, 122.0824682712555]"
0.6482758620689655,0.17991799060713087,134.39466635386148,128,50,2,100,200,0.6482758620689655,0.1794886512505513,138.64136505126953,[0.6482758620689655],"[0.17780452305192043, 0.1794886512505513, 0.18246079751892091]","[147.10301804542542, 138.64136505126953, 117.43961596488953]"
