averageTestAccuracy,averageTestMSE,averageTimeTaken,batchSize,embeddingVectorLength,epochs,lstmLayerSize,maxSentenceLength,medianTestAccuracy,medianTestMSE,medianTimeTaken,testAccuracy,testMSE,timeTaken
0.5981693524347262,0.14900373138060824,1130.7145857016246,128,30,3,100,200,0.5981693524347262,0.14860810412318642,1126.4881920814514,[0.5981693524347262],"[0.15064363606092576, 0.14775945395771256, 0.14860810412318642]","[1182.975289106369, 1126.4881920814514, 1082.6802759170532]"
0.6057269108699083,0.15005978327876868,1330.8864968617756,128,50,3,100,200,0.6057269108699083,0.14953100534335975,1314.1210618019104,[0.6057269108699083],"[0.14874603839835812, 0.1519023060945882, 0.14953100534335975]","[1314.1210618019104, 1224.847785949707, 1453.6906428337097]"
0.6014659208472882,0.15093732153909767,1758.6781046390533,128,100,3,100,200,0.6014659208472882,0.15111506611205253,1677.3194212913513,[0.6014659208472882],"[0.15055103099670755, 0.1511458675085329, 0.15111506611205253]","[1660.936449766159, 1677.3194212913513, 1937.7784428596497]"
